artist_name,artist_id,title,id,artist_hotttnesss
Louis Couperin,ARDM6WT1187FB4C2D1,"Biblioth??que nationale de France MS R??s Vm7 674 ""Manuscrit Bauyn"": Fantaisie in G Minor",SOHZFVI14F1381F5E0,0.514518
Musica Pacifica,AROGTGY11F4C841E5E,Sonata No. 19 in E Minor: Fuga,SOHYEFA1311AFDF80D,0.3891
Berri Txarrak,ARJKJX31187B9B9BAC,Etsia - Comentario,SOGIIEL14C03ECF4C3,0.520378
SBTRKT,AROMQSM12AA0D8E02B,Step in Shadows,SOEQKEY1315CD46465,0.694289
Miles Bonny,ARUGBRL12086C1492F,Hydro,SOHYJHM144965658A2,0.478762
TS7,ARGBGYA1187B99B4EB,On My Own,SOERAPC137A55FFCB8,0.455345
Lil Coner,ARWWWHR122988F2158,No Punks,SOHKLNZ13167710542,0.462493
The Showmen,ARHBFUV1187B9949A2,The Owl Sees You,SOHZGOS12AB0186A00,0.494026
Rise Of The Northstar,ARXCOHG134D7A062A3,Phoenix,SOICYQD14A4412BDD6,0.535041
Jansport J,ARJIGBD129CDD17A7A,Shoulders,SOHTJVN14490BBA762,0.470928
Miles Davis,AR7RTGF1187FB38793,Victory Ball,SOHXKXB1377AB05086,0.697302
Lucy Lucy!,ARDAADP12AA0D89EE3,Blind As a Bat,SOIGDVN130516E068C,0.496931
Admiral Freebee,ARRAH9J1187B9B7607,Breaking Away,SOHZBZE144414E43D8,0.567309
Warda,ARHRIHV11E2835E4B5,Ya Wlad El 7Lal,SOHZEEH132C02BE070,0.524607
Lyapis Trubetskoy,ARVBFMR11F4C843362,Gop hip hop,SOESDVW13134391170,0.504261
Ryu???,ARR0GZK1187FB45D52,Princess Primp!(?????????)feat.KANA,SOIOUDY14E35D5EB9B,0.502534
Safari Sound Band,ARW01SB1187B9B10A3,Mambo Jambo,SOIAPUC1315CD4BD56,0.487236
Amrinder Gill,ARO2B6A1187B9AEE97,Judaa 2 (U-Mix),SOHYGFW143D324F54C,0.652387
Duke Ellington,ARMI36C1187B99A462,Black Beauty,SOHXLMS1375CE077FF,0.616767
Leftfield,ARQLGB41187FB4F7EB,Afrika Shox (Radio Edit),SOHZGQE144B1576B02,0.702951
Avicii,ARWLAEE122BCFCA245,Bom (Original Mix),SOHZAKH131343977CE,0.896362
Necros Christos,AR4JYES1187FB4FC5A,Gate 2: Sugvari,SOHTTYJ130516E21EE,0.479407
Burzum,ARTAWLO1187B9ACE3D,Blodstokkinn,SOEPVUG1393C27B70E,0.588466
Indian,ARHI6R61187B9AF891,Want More (Instrumental),SOGFZZI14E8D1EFE7B,0.484496
Sarc??fago,AR5FRDT1187B9A6BE3,Inri,SOHXEUA13E99B08972,0.528044
Lantl??s,ARYUNVC11E2835D401,Eribo - I Collect the Stars (DEMO),SOAOOAO1393D3B0E25,0.568661
Ernst Mosch und seine Original Egerl??nder Musikanten,AR8XG7M1187B9AD619,Rosamunde,SOHXNVB14F7D29D013,0.470494
Ricky Skaggs,ARQVA291187FB3B85A,All I Ever Loved Was You,SOETCVI12A8AE47FD3,0.54472
Buddy Guy,ARZXNFV1187B9BA2CD,When You See The Tears From My Eyes (Live),SOIBPGL1313438B5AA,0.597172
Eric Clapton,ARLAUED1187B9ACEAF,Further on up the Road,SOHYKXB134EE36B290,0.661966
Josh Smith,ARXNERV1241B9C64F0,I'm Gonna Be Ready,SOHXWIN130516DB7AB,0.437254
Tittsworth,ARI3LFX1187FB5464D,Club 219,SOELMBR13E95B062A3,0.470801
Marco Antonio Mu??iz,AR9VPVF1187B99D740,Ay Cari??o,SOHYYWQ1315CD46BB7,0.557001
Willie Col??n,ARPVMJZ1187FB48D2D,Color Americano,SOHYMBF1312A8A8F07,0.580811
Jimmy Yancey,ARG02OJ1187B9AE1BD,How Long Blues,SOETOUE12A58A7AFD7,0.493126
Ant??nio Carlos Jobim,ARIQC381187B9A825E,A Chegada Dos Candangos - Original Mix,SOIAHYG14A7E61B126,0.580549
S??rgio Mendes Trio,ARHDPNZ11E2835CEFC,Consolacao,SOGGFVX12A6D4F9D77,0.4676
DJ Jubilee,ARUMBUH1269FCCE7B8,Gumbo Funk,SOJFJOQ14E2BBF0574,0.448102
Darren Styles,ARPEHB71187B9A2AD0,Pacific Sun,SOHYRWP13DC72C1D86,0.532012
Ludovico Einaudi,AROUAIO1187FB37410,Fuori Dal Mondo,SOHXKGV12A8C13B5D7,0.715816
Take That,AR3MMZH1187B9B55D0,Get Ready,SOHZMJC14CED1CECD4,0.701285
Kermit Ruffins,ARCGLMM1187B9902B6,Swing This!,SOHZUFX12AB017CC73,0.549272
