name,id,hotttnesss
New Four,ARY7CXN1187B9B4A3D,0.423581
Corinne Hermes,AR0DC8R1187FB3E14B,0.453625
Taiska,ARQD9PB1187B994298,0.486736
Juice Leskinen & Coitus Int,AR8JP2M11C8A4158C6,0.483555
St??phanie,ARIVSI41187B9AF66B,0.491303
Sly & The Family Stone,ARDIBRT1187B9AF176,0.691161
The Kingsmen,ARTV3ER1187B98AD07,0.553858
Mino Reitano,ARRB40Z1187FB42AA6,0.464614
Hanne Krogh,ARM99NU1187B9B8E04,0.563692
Manuel Donayre,ARJGVC31187B9AE910,0.477378
Wojciech M??ynarski,ARAJQDC1187B991C31,0.518653
The Maze,ARF797V1187B994238,0.473647
Led Zeppelin,ARWEHSW1241B9C9610,0.784638
Verka serduchka,ARIGDQZ1187FB44FAB,0.492341
?????????€??????,ARBLVC61187FB4C783,0.551108
Ren?? Carol,AR0LJEF1187B98E0DD,0.472671
Francesco De Masi,ARDQHOX1187FB3A388,0.50979
Eldkvarn,ARUHXSY122BCFCD27D,0.514837
Nazan ??oray,ARRAHLI1187B9B088C,0.459393
Cecilia Todd,ARCPSQA11F4C83C1E3,0.474808
Ludwig van Beethoven,ARDDBKT12AF7DB8C04,0.600394
Ludwig van Beethoven,ARXBPGU1187B9A3D9D,0.600394
Emmanuel Pahud,ARNJSLN126FE025374,0.504013
Antonio Lauro,AR0TNOO1187B9A4292,0.473997
Marie-Claire Alain,AR20BO61187B9B880E,0.493773
Lang Lang,AR4QR7411C8A415F2E,0.55671
Carl Stamitz,ARI38ZY1187B9B6C9C,0.518972
Vladimir Horowitz,ARHP3QZ1187B9B9953,0.530388
Voices in Your Head,ARTQFNZ12E2A671BBF,0.487489
Ohio State University Marching Band,AR503JD1187FB4AE40,0.481046
Superlitio,ARAVBGP1241B9C4FD0,0.551294
84 Nash,ARJ71611187FB3B532,0.331185
Patton Oswalt,AR28FOW1187B9A858D,0.570691
Nice Peter,AR95IYB1187FB3FE0B,0.552374
Adam Sandler,ARXE1EM1187B98E8CE,0.650176
Both,ARRNSJY122988FE8CC,0.485395
Zedd,AR5KAA01187FB5AEB7,0.828339
Lera Auerbach,AR8F4OP1187FB5CF3B,0.47526
